OBJECTID,Site_Code,latitude,longitude,first_date,last_date
39186,F10235,-6.09375945540064,54.7134963650526,1998-01-12,1996-12-05
39387,F10236,-6.08422982509001,54.7296441213543,1996-12-05,1998-01-12
39400,F10236,-6.08422982509001,54.7296441213543,1998-01-12,1996-12-05
39534,F10237,-6.09064975341537,54.7406886347637,1996-12-05,1998-01-12
39547,F10237,-6.09064975341537,54.7406886347637,1998-01-12,1990-02-22
39645,F10238,-6.00606079891081,54.7439088015393,1990-02-22,2005-10-27
39875,F10238,-6.00606079891081,54.7439088015393,2005-10-27,1991-01-28
42192,F10248,-6.23931445911831,54.588227696611,1991-01-28,1992-05-22
42227,F10248,-6.23931445911831,54.588227696611,1992-05-22,2006-11-20
43717,F10260,-6.48561520358964,54.2702621376626,2006-11-20,2006-11-20
43717,F10260,-6.48561520358964,54.2702621376626,2006-11-20,2005-12-07
43880,F10261,-6.1688142548231,54.3209882452336,2005-12-07,2018-12-11
43983,F10261,-6.1688142548231,54.3209882452336,2018-12-11,2005-04-21
44230,F10264,-6.14608765619988,54.1984525408984,2005-04-21,2008-07-21
44268,F10264,-6.14608765619988,54.1984525408984,2008-07-21,1997-01-28
44480,F10268,-6.51799941528328,54.5044204961185,1997-01-28,1997-02-26
44482,F10268,-6.51799941528328,54.5044204961185,1997-02-26,1990-02-15
44551,F10269,-6.43271695520957,54.4698150720682,1990-02-15,1997-02-26
44721,F10269,-6.43271695520957,54.4698150720682,1997-02-26,1990-10-31
44933,F10270,-6.44043699022285,54.4274456784378,1990-10-31,2002-01-30
45070,F10270,-6.44043699022285,54.4274456784378,2002-01-30,1990-02-22
45227,F10271,-6.39660560688611,54.3980492946013,1990-02-22,2018-12-11
45605,F10271,-6.39660560688611,54.3980492946013,2018-12-11,1995-11-27
45637,F10272,-6.36004115897813,54.3720327966466,1995-11-27,1997-03-12
45654,F10272,-6.36004115897813,54.3720327966466,1997-03-12,1995-11-27
45739,F10273,-6.30774948167632,54.3787950635026,1995-11-27,2002-03-29
45847,F10273,-6.30774948167632,54.3787950635026,2002-03-29,1994-08-22
46005,F10274,-6.28855245186581,54.3737175168588,1994-08-22,1997-02-26
46064,F10274,-6.28855245186581,54.3737175168588,1997-02-26,1990-02-22
46133,F10275,-6.27870638315882,54.3585639473245,1990-02-22,1992-09-18
46196,F10275,-6.27870638315882,54.3585639473245,1992-09-18,1995-11-27
46262,F10276,-6.26631766649311,54.3488177625374,1995-11-27,1997-02-26
46278,F10276,-6.26631766649311,54.3488177625374,1997-02-26,1990-10-31
46346,F10277,-6.25129655204769,54.3410896427009,1990-10-31,2002-01-30
46524,F10277,-6.25129655204769,54.3410896427009,2002-01-30,1997-01-14
46652,F10278,-6.20432093943266,54.3332834361257,1997-01-14,2018-11-15
46848,F10278,-6.20432093943266,54.3332834361257,2018-11-15,1995-11-27
47001,F10280,-6.14338809930588,54.3016320508268,1995-11-27,2018-12-11
47292,F10280,-6.14338809930588,54.3016320508268,2018-12-11,1995-11-27
47512,F10283,-6.10699194751555,54.2410632171235,1995-11-27,2002-02-28
47618,F10283,-6.10699194751555,54.2410632171235,2002-02-28,1990-02-22
48381,F10292,-6.45894521617594,54.4298575226415,1990-02-22,1997-11-18
48564,F10292,-6.45894521617594,54.4298575226415,1997-11-18,1997-02-12
48826,F10293,-6.49591193256904,54.3777379494894,1997-02-12,1997-11-18
48845,F10293,-6.49591193256904,54.3777379494894,1997-11-18,1997-01-14
48893,F10294,-6.51697945256931,54.3376585785817,1997-01-14,1999-12-13
48961,F10294,-6.51697945256931,54.3376585785817,1999-12-13,1990-02-22
48963,F10295,-6.40140335269585,54.3950492010374,1990-02-22,2018-12-11
49325,F10295,-6.40140335269585,54.3950492010374,2018-12-11,1997-01-28
49327,F10296,-6.39190121049353,54.3581041947456,1997-01-28,1997-11-18
49347,F10296,-6.39190121049353,54.3581041947456,1997-11-18,1990-02-22
