OBJECTID,Site_Code,latitude,longitude,date,NO3_N_MGL,rain_sum
33808,F10206,54.8226847551706,-6.33029394903937,2000-03-08,NA,0.4
33809,F10206,54.8226847551706,-6.33029394903937,2001-03-05,NA,0
33810,F10206,54.8226847551706,-6.33029394903937,2002-03-11,NA,0
33811,F10206,54.8226847551706,-6.33029394903937,2003-03-20,NA,0
33812,F10206,54.8226847551706,-6.33029394903937,2008-03-04,NA,0.7
33813,F10206,54.8226847551706,-6.33029394903937,2009-03-19,NA,0
33814,F10207,54.9096406144771,-6.36929543152662,2000-03-08,NA,1.6
33815,F10207,54.9096406144771,-6.36929543152662,2001-03-05,NA,0
33816,F10207,54.9096406144771,-6.36929543152662,2002-03-11,NA,0
33817,F10207,54.9096406144771,-6.36929543152662,2007-02-19,1.49,9.3
33818,F10207,54.9096406144771,-6.36929543152662,2007-03-22,1.13,0.6
33819,F10207,54.9096406144771,-6.36929543152662,2007-04-17,1.9,0.1
33820,F10207,54.9096406144771,-6.36929543152662,2007-05-23,1.03,0.4
33821,F10207,54.9096406144771,-6.36929543152662,2007-06-19,1.27,1.5
33822,F10207,54.9096406144771,-6.36929543152662,2007-07-20,1.08,1.8
33823,F10207,54.9096406144771,-6.36929543152662,2007-08-20,0.92,3.3
33824,F10207,54.9096406144771,-6.36929543152662,2007-09-20,0.99,0.8
33825,F10207,54.9096406144771,-6.36929543152662,2007-10-19,1.13,0
33826,F10207,54.9096406144771,-6.36929543152662,2007-11-14,0.83,4.5
33827,F10207,54.9096406144771,-6.36929543152662,2007-12-10,1.27,0.2
33828,F10207,54.9096406144771,-6.36929543152662,2008-01-23,1.28,6.3
33829,F10207,54.9096406144771,-6.36929543152662,2008-02-22,2.12,3.5
33830,F10207,54.9096406144771,-6.36929543152662,2008-03-27,0.76,0.3
33831,F10207,54.9096406144771,-6.36929543152662,2008-04-14,1.28,0
33832,F10207,54.9096406144771,-6.36929543152662,2008-05-20,1.15,0.1
33833,F10207,54.9096406144771,-6.36929543152662,2008-06-20,1.33,2.5
33834,F10207,54.9096406144771,-6.36929543152662,2008-07-29,1.58,2.1
33835,F10207,54.9096406144771,-6.36929543152662,2008-08-18,0.55,5.2
33836,F10207,54.9096406144771,-6.36929543152662,2008-09-18,0.67,4.9
33837,F10207,54.9096406144771,-6.36929543152662,2008-10-15,1.09,0.4
33838,F10207,54.9096406144771,-6.36929543152662,2008-11-17,1.02,6.4
33839,F10207,54.9096406144771,-6.36929543152662,2008-12-16,NA,4.8
33840,F10207,54.9096406144771,-6.36929543152662,2009-01-21,1.08,0.8
33841,F10207,54.9096406144771,-6.36929543152662,2009-02-20,1.15,0
33842,F10207,54.9096406144771,-6.36929543152662,2009-03-24,1.14,3.3
33843,F10207,54.9096406144771,-6.36929543152662,2009-04-08,0.8,6.4
33844,F10207,54.9096406144771,-6.36929543152662,2009-05-19,1.06,11.4
33845,F10207,54.9096406144771,-6.36929543152662,2009-06-19,0.63,3.1
33846,F10207,54.9096406144771,-6.36929543152662,2009-07-28,0.66,4.4
33847,F10207,54.9096406144771,-6.36929543152662,2009-08-17,0.6,4.6
33848,F10207,54.9096406144771,-6.36929543152662,2009-08-26,NA,10.1
33849,F10207,54.9096406144771,-6.36929543152662,2009-09-17,1.26,0
33850,F10207,54.9096406144771,-6.36929543152662,2009-10-14,1.25,1.3
33851,F10207,54.9096406144771,-6.36929543152662,2009-11-16,0.48,19.7
33852,F10207,54.9096406144771,-6.36929543152662,2009-12-15,1.09,0
33853,F10207,54.9096406144771,-6.36929543152662,2009-12-17,NA,0
33854,F10207,54.9096406144771,-6.36929543152662,2011-01-18,0.98,0
33855,F10207,54.9096406144771,-6.36929543152662,2011-02-16,0.87,0.9
33856,F10207,54.9096406144771,-6.36929543152662,2011-03-14,0.78,2.7
33857,F10207,54.9096406144771,-6.36929543152662,2011-04-11,0.81,7.1
33858,F10207,54.9096406144771,-6.36929543152662,2011-05-19,0.72,0.4
33859,F10207,54.9096406144771,-6.36929543152662,2011-06-14,0.59,0
33860,F10207,54.9096406144771,-6.36929543152662,2011-07-21,0.49,0
33861,F10207,54.9096406144771,-6.36929543152662,2011-08-15,0.62,1.9
33862,F10207,54.9096406144771,-6.36929543152662,2011-09-15,0.42,2.5
33863,F10207,54.9096406144771,-6.36929543152662,2011-10-12,0.47,9.3
33864,F10207,54.9096406144771,-6.36929543152662,2011-11-08,0.97,0.5
33865,F10207,54.9096406144771,-6.36929543152662,2011-12-07,0.56,2.7
33866,F10207,54.9096406144771,-6.36929543152662,2012-01-18,1.11,0
33867,F10207,54.9096406144771,-6.36929543152662,2012-02-15,1,0
33868,F10207,54.9096406144771,-6.36929543152662,2012-03-12,0.97,0
33869,F10207,54.9096406144771,-6.36929543152662,2012-04-12,0.7,0
33870,F10207,54.9096406144771,-6.36929543152662,2012-05-08,0.97,0.8
33871,F10207,54.9096406144771,-6.36929543152662,2012-06-12,0.76,9.9
33872,F10207,54.9096406144771,-6.36929543152662,2012-07-10,0.7,0
33873,F10207,54.9096406144771,-6.36929543152662,2012-08-08,0.97,0
33874,F10207,54.9096406144771,-6.36929543152662,2012-09-03,1.09,0
33875,F10207,54.9096406144771,-6.36929543152662,2012-10-04,0.53,1
33876,F10207,54.9096406144771,-6.36929543152662,2012-10-29,0.79,0
33877,F10207,54.9096406144771,-6.36929543152662,2012-11-29,0.82,1.1
33878,F10207,54.9096406144771,-6.36929543152662,2015-01-27,1.16,0.1
33879,F10207,54.9096406144771,-6.36929543152662,2015-04-20,0.97,0.2
33880,F10207,54.9096406144771,-6.36929543152662,2015-06-24,1,1.7
33881,F10207,54.9096406144771,-6.36929543152662,2015-09-24,0.64,1.2
33882,F10207,54.9096406144771,-6.36929543152662,2016-01-12,0.45,6.5
33883,F10207,54.9096406144771,-6.36929543152662,2016-04-11,0.76,2
33884,F10207,54.9096406144771,-6.36929543152662,2016-07-07,0.62,1.5
33885,F10207,54.9096406144771,-6.36929543152662,2016-10-12,0.92,0
33886,F10207,54.9096406144771,-6.36929543152662,2017-01-18,1.04,0
33887,F10207,54.9096406144771,-6.36929543152662,2017-02-13,1.05,0.3
33888,F10207,54.9096406144771,-6.36929543152662,2017-03-14,0.86,0
33889,F10207,54.9096406144771,-6.36929543152662,2017-04-20,0.78,0.1
33890,F10207,54.9096406144771,-6.36929543152662,2017-05-22,0.97,3.9
33891,F10207,54.9096406144771,-6.36929543152662,2017-06-26,0.83,2.5
33892,F10207,54.9096406144771,-6.36929543152662,2017-07-17,0.95,0
33893,F10207,54.9096406144771,-6.36929543152662,2017-08-15,1.01,0.2
33894,F10207,54.9096406144771,-6.36929543152662,2017-09-11,0.34,12.5
33895,F10207,54.9096406144771,-6.36929543152662,2017-10-12,0.58,0
33896,F10207,54.9096406144771,-6.36929543152662,2017-11-06,0.54,1
33897,F10207,54.9096406144771,-6.36929543152662,2017-12-07,0.7,6.6
33898,F10207,54.9096406144771,-6.36929543152662,2018-01-18,1.24,4.2
33899,F10207,54.9096406144771,-6.36929543152662,2018-02-14,0.82,4.8
33900,F10207,54.9096406144771,-6.36929543152662,2018-03-13,0.68,0
33901,F10207,54.9096406144771,-6.36929543152662,2018-04-19,0.83,0
33902,F10207,54.9096406144771,-6.36929543152662,2018-05-15,0.77,0.1
33903,F10207,54.9096406144771,-6.36929543152662,2018-06-19,0.92,7.2
33904,F10207,54.9096406144771,-6.36929543152662,2018-07-16,1.84,1
33905,F10207,54.9096406144771,-6.36929543152662,2018-08-15,0.99,0.4
33906,F10207,54.9096406144771,-6.36929543152662,2018-09-10,0.99,6.4
33907,F10207,54.9096406144771,-6.36929543152662,2018-10-09,0.79,0.9
33908,F10207,54.9096406144771,-6.36929543152662,2018-11-05,2.08,5.8
33909,F10207,54.9096406144771,-6.36929543152662,2018-12-06,1.82,4
33910,F10208,54.8199474313918,-6.03645208969861,2000-01-10,NA,1.7
33911,F10208,54.8199474313918,-6.03645208969861,2000-02-09,NA,0.5
33912,F10208,54.8199474313918,-6.03645208969861,2000-03-09,NA,1.6
33913,F10208,54.8199474313918,-6.03645208969861,2000-04-07,NA,1.7
33914,F10208,54.8199474313918,-6.03645208969861,2000-05-08,NA,0
33915,F10208,54.8199474313918,-6.03645208969861,2000-06-09,NA,1.7
33916,F10208,54.8199474313918,-6.03645208969861,2000-07-07,NA,0.5
33917,F10208,54.8199474313918,-6.03645208969861,2000-08-09,NA,15
33918,F10208,54.8199474313918,-6.03645208969861,2000-09-05,NA,1
33919,F10208,54.8199474313918,-6.03645208969861,2000-10-05,NA,0.1
33920,F10208,54.8199474313918,-6.03645208969861,2000-11-06,NA,16.9
33921,F10208,54.8199474313918,-6.03645208969861,2000-11-30,NA,7.4
33922,F10208,54.8199474313918,-6.03645208969861,2001-01-09,NA,0
33923,F10208,54.8199474313918,-6.03645208969861,2001-02-08,NA,0
33924,F10208,54.8199474313918,-6.03645208969861,2001-03-05,NA,0
33925,F10208,54.8199474313918,-6.03645208969861,2001-04-04,NA,3.3
33926,F10208,54.8199474313918,-6.03645208969861,2001-05-08,NA,0
33927,F10208,54.8199474313918,-6.03645208969861,2001-06-08,NA,2.7
33928,F10208,54.8199474313918,-6.03645208969861,2001-07-09,NA,2
33929,F10208,54.8199474313918,-6.03645208969861,2001-08-09,NA,0
33930,F10208,54.8199474313918,-6.03645208969861,2001-09-10,NA,0
33931,F10208,54.8199474313918,-6.03645208969861,2001-10-09,NA,0.7
33932,F10208,54.8199474313918,-6.03645208969861,2001-11-07,NA,5.1
33933,F10208,54.8199474313918,-6.03645208969861,2001-11-30,NA,6.5
33934,F10208,54.8199474313918,-6.03645208969861,2002-01-09,NA,0
33935,F10208,54.8199474313918,-6.03645208969861,2002-02-07,NA,4.7
33936,F10208,54.8199474313918,-6.03645208969861,2002-03-08,NA,3
33937,F10208,54.8199474313918,-6.03645208969861,2002-04-09,NA,0
33938,F10208,54.8199474313918,-6.03645208969861,2002-05-07,NA,2.5
33939,F10208,54.8199474313918,-6.03645208969861,2002-06-06,NA,1.2
33940,F10208,54.8199474313918,-6.03645208969861,2002-07-08,NA,1.6
