OBJECTID,Site_Code,latitude,longitude,date,NO3_N_MGL,rain_sum
15597,F10104,54.5929685240111,-7.06604137691735,2000-01-25,NA,0
15598,F10104,54.5929685240111,-7.06604137691735,2000-02-23,NA,2.6
15599,F10104,54.5929685240111,-7.06604137691735,2000-03-23,NA,4
15600,F10104,54.5929685240111,-7.06604137691735,2000-04-20,NA,3.6
15601,F10104,54.5929685240111,-7.06604137691735,2000-05-22,NA,2
15602,F10104,54.5929685240111,-7.06604137691735,2000-06-23,NA,0.4
15603,F10104,54.5929685240111,-7.06604137691735,2000-07-21,NA,0
15604,F10104,54.5929685240111,-7.06604137691735,2000-08-23,NA,0
15605,F10104,54.5929685240111,-7.06604137691735,2000-09-19,NA,0
15606,F10104,54.5929685240111,-7.06604137691735,2000-10-19,NA,0
15607,F10104,54.5929685240111,-7.06604137691735,2000-11-20,NA,0.5
15608,F10104,54.5929685240111,-7.06604137691735,2000-12-06,NA,0.1
15609,F10104,54.5929685240111,-7.06604137691735,2001-01-23,NA,8.6
15610,F10104,54.5929685240111,-7.06604137691735,2001-02-22,NA,1.7
15611,F10104,54.5929685240111,-7.06604137691735,2001-03-28,NA,2.6
15612,F10104,54.5929685240111,-7.06604137691735,2001-04-20,NA,0.3
15613,F10104,54.5929685240111,-7.06604137691735,2001-05-21,NA,0
15614,F10104,54.5929685240111,-7.06604137691735,2001-06-25,NA,0.3
15615,F10104,54.5929685240111,-7.06604137691735,2001-07-23,NA,1.3
15616,F10104,54.5929685240111,-7.06604137691735,2001-08-22,NA,0
15617,F10104,54.5929685240111,-7.06604137691735,2001-09-21,NA,0.1
15618,F10104,54.5929685240111,-7.06604137691735,2001-10-23,NA,6.5
15619,F10104,54.5929685240111,-7.06604137691735,2001-11-21,NA,13.5
15620,F10104,54.5929685240111,-7.06604137691735,2001-12-11,NA,0
15621,F10104,54.5929685240111,-7.06604137691735,2002-01-23,NA,13.5
15622,F10104,54.5929685240111,-7.06604137691735,2002-02-21,NA,4
15623,F10104,54.5929685240111,-7.06604137691735,2002-03-25,NA,0.1
15624,F10104,54.5929685240111,-7.06604137691735,2002-04-23,NA,0
15625,F10104,54.5929685240111,-7.06604137691735,2002-05-22,NA,10.3
15626,F10104,54.5929685240111,-7.06604137691735,2002-06-24,NA,1.4
15627,F10104,54.5929685240111,-7.06604137691735,2002-07-23,NA,0.6
15628,F10104,54.5929685240111,-7.06604137691735,2002-08-21,NA,0
15629,F10104,54.5929685240111,-7.06604137691735,2002-09-13,NA,0
15630,F10104,54.5929685240111,-7.06604137691735,2002-10-15,NA,0.1
15631,F10104,54.5929685240111,-7.06604137691735,2002-11-14,NA,25.1
15632,F10104,54.5929685240111,-7.06604137691735,2002-12-13,NA,0
15633,F10104,54.5929685240111,-7.06604137691735,2003-01-23,1.43,0
15634,F10104,54.5929685240111,-7.06604137691735,2003-02-19,1.64,0
