Site_Code,latitude,longitude,first_date,last_date
F10075,-7.10611713985483,54.7316061823673,1992-07-20,2018-11-19
F10076,-7.06633490802453,54.7280812516355,1992-07-20,2018-11-19
F10077,-7.04866574718808,54.7071114818933,1992-07-20,2018-12-03
F10078,-7.301766513531,54.7434374120428,1990-01-10,2018-04-10
F10079,-7.12580262673132,54.7668113136695,1992-07-20,2018-12-13
F10080,-7.01428611159111,54.7902378795898,1992-07-20,2018-04-26
F10081,-7.16997449647119,54.7181542718393,1992-07-20,2018-11-19
F10082,-7.09857760306771,54.6838489516245,1992-07-20,1999-11-25
F10083,-7.12495600997028,54.6865127927735,1992-07-20,2018-11-19
F10084,-7.31373322264445,54.6445291015927,2000-01-28,2009-12-15
F10085,-7.32820540221129,54.6996054333572,2000-01-28,2015-09-24
F10086,-7.36315566082243,54.7210572635119,1990-01-10,2018-12-06
F10087,-7.32430522640564,54.6449748494518,1990-02-15,2018-04-10
F10088,-7.30537947952314,54.6021252598229,1990-01-03,2017-10-10
F10089,-7.32492414356592,54.6608965883206,1992-07-08,2018-12-06
F10090,-7.54861912458833,54.6679918074993,2000-01-28,2018-12-06
F10091,-7.49432291050824,54.5998374946425,2000-01-28,2018-04-11
F10092,-7.4872698570159,54.6057996139071,2000-01-28,2018-04-11
F10093,-7.59993910015436,54.6532962885567,2000-01-28,2009-12-15
F10094,-7.49403042839522,54.63337952149,2000-03-27,2009-04-30
F10095,-7.5341842595028,54.6590348690441,2000-03-26,2009-04-30
F10096,-7.37824862553918,54.6241533329644,2000-03-26,2009-04-30
F10097,-7.53933353991741,54.6161600610373,2000-01-28,2018-12-06
F10098,-7.33359623710149,54.620537994663,1990-01-10,1997-12-05
F10099,-7.3358682962679,54.6207570993726,1998-01-19,2018-12-06
F10100,-7.36328527647871,54.6177243745307,1997-01-17,2009-12-15
F10101,-7.3931249394876,54.6357004232562,1992-07-06,2018-12-06
F10102,-7.46734819816225,54.6453114672389,1992-07-06,2018-12-06
F10103,-7.48986715224489,54.6158897497304,1992-07-06,2018-12-06
F10104,-7.06604137691735,54.5929685240111,2000-01-25,2018-12-04
F10105,-7.25216567133532,54.5861051570618,2000-03-23,2009-04-28
F10106,-7.11757892791829,54.5490487538791,2000-01-25,2018-04-12
F10107,-7.04122968399049,54.5849498054369,2000-01-25,2018-12-04
F10108,-7.16719831321009,54.6029779460922,2000-01-25,2018-12-04
